id,control,input,output
yelp_train_86751,Positive,So good! The mix of,"the hot bread, meat, and cheese with the cold toppings and mayo is delicious. Perfect place to go when you need a quick bite that isn't the more traditional fast food. Their cookies and bars are addictive. They have lots of fun drinks in a cooler and very good potato salad. A few different flavors of kettle cooked chips. All in all, a great stop for a good sandwich meal."
yelp_train_629231,Positive,Love this place,first started going off to the one on Warmsprings been going to this one lately just because it's on the way to everything that I do in town always consistent love the spicy beef and chicken combo macaroni salad is out of this world
yelp_train_135177,Negative,"Went in on Saturday,","early evening. The hostess went to seat us in a small alcove next to kitchen when over half the restaurant was empty. We asked to be seated else where, which she did after some mumbling. We ordered prime rib ($42) and sirloin ($43) along with two sides, mushrooms and green beans. Food came out cold even the sides that are in a small cast iron pan. There is no reason that food at a steakhouse should come out cold. I had to ask twice for horseradish sauce and my husband sent his steak back to be heated which of course leaves each person dinning alone and your steak not done as requested? This is not the experience one likes to have when going out for dinner TOGETHER especially in Vegas. So as you can see, what happened in Vegas is not going to stay in Vegas. Go elsewhere...this was unsatisfactory."
yelp_train_503396,Negative,,"I had a very unfortunate experience here at La Petite France. I came here for restaurant week and I was really looking forward to my meal after reading all these reviews. I have only traveled in France briefly in my time but it was enough to know that I love French cuisine. Unfortunately I was meet with disappointment while eating here. After placing a reservation for our meal we arrived early only to find that all of the inside tables were being occupied by two large parties. As compensation we were offered an extremely small and awkward table that is located immediately next to the main entrance of the restaurant or a table on the patio. Given the awkwardness of the remaining in-house table we choose to bear the evening chill and sit outdoors. It was evident that the staff had made a mistake and felt badly for it but they danced around the subject for the remainder of the evening rather than apologize. As the odds would have it I ordered the three smallest dishes on the menu. I could not actually believe how small these plates were. I ordered the Le Panier de Tomatoes Rouge, Escargot, the Scallops, and the Red Fruit Sabayon for dessert (all photos of these can be found above courtesy of Mary F). The only dish of these that was memorable was the escargot. The others were truly lacking in flavor and had nothing to savor. I paid $40 to be cold and hungry."
yelp_train_306684,Negative,Such a shame,"this place has such terrible service because the atmosphere and happy hour is great! Have rented a karaoke room, came for lunch and did happy hour... Every time horrible service! Long waits for food and drinks, servers and bartenders have poor attitudes... Pretty sure we won't be back"
yelp_train_620166,Positive,Absolutely amazing. Salmon,"tostadas, Tuna tostadas and Black Cod are fantastic. Food is fresh, flavorful and carefully presented. The owner is a real gentleman and true craftsman. We dine here several time a week. What a find!"
yelp_train_178543,Negative,I,"normally don't take the time to write reviews, but this was such a rippoff I feel obligated to say something. The food was not horrible, but no where near worth $20 per person let Alone the $30 per person they were charging. The other resturaunt at Planet Hollywood were very nice but this was a waste of time, money and the chance to eat a nice meal while in Vegas."
yelp_train_649936,Positive,"So,","I was reluctant to see this but my wife dragged me to it. Surprisingly, I thoroughly enjoyed myself. The four singers did a great job and did justice to Sir Elton John, Barry Manilow, and billy Joel. A nice clean respectful show."
yelp_train_189997,Negative,"In a word, DISGUSTING. Service was","minimal. Food was just terrible. I had the buffalo chicken \""wings\"" I should have known something was wrong when they had quotations around the \""wings.\"" It was just odd. It literally made me sick to my stomach. And I had to pay $16 for them on top of it.  Jenn ordered the lobster tacos. They were so small, you could eat them with a tweezer. No joke..lol $100 bucks for disgusting drinks and food?  Jenn, I told you I wanted Grand Lux Cafe!!!!! I will never be back."
yelp_train_508116,Positive,I can't,"believe this is my first time being in this store. So many make up finds, plus I got my make up done! I have to admit, the reason what attracted me to even walk in the store was because of their beautiful display of eyelashes. I had to get some on since I had a wedding to go to.  The ladies that we're working in the store that day were very friendly. My make up artist while applying my makeup even gave the whole history of the brand. She did such a great job, I wanted to make sure I bought a lot of product, which I did, but when she rang me up, I was in shock at how affordable everything was. I picked an eyelash curler, gel eyeliner, lipstick, a highlighter all under $70, wow! I'm definitely returning, and will take my time to try out more products. I'm def a fan."
yelp_train_624309,Negative,FYI this location doesn't do,Togo orders between 9am and 12pm on Saturday and Sundays. You can't even go in to order Togo. So if someone is sick and craving strawberry pancakes...Tuff. You MUST eat in the restaurant or wait till the afternoon. WOW. Babystacks knows customer service.
yelp_train_631450,Negative,Arrived at sky,harbor airport and Firefly Car Rental went home - 9 pm. Fend for yourself even when you have a reservation - horrible
yelp_train_101141,Negative,Orange Table,"has a great ambiance and location. The menu is interesting and well thought out. That being said, I have no plans on coming back.  I've been coming here off and on for a couple years. Each time gets more and more disappointing. This particular time we arrived at 9:30 or so on a Saturday, just before the big breakfast rush. A good chunk of the tables were occupied, however there were a few available, probably about half full. The two of us gave our name and were seated in the waiting area. As we sat, we noticed a gentleman, chilling out behind the counter, texting in plain view, generally looking lazy and slow.  About 10 minutes later, we were seated. Turns out Lazy McTexter was our server. He seats us, doesn't ask us what we would like to drink (we'd been waiting, we knew), and disappears for another 10 minutes. He comes back, I decide against coffee (theirs is delicious usually) and went with OJ. Big mistake. I understand fresh squeezed OJ has pulp, but this was ridiculous. I literally had to chew it. We ordered the food then too, no telling how long before he'd be back. Food came about 15 minutes after ordering. Not forever, but a little long for a breakfast menu. I ordered the eggs benedict, and my friend ordered chocolate chip pancakes. I know they're famous for the hash, but we've had it before. Here's the worst part about the whole situation, the food was good! The eggs benedict were some of the best I've had in the valley! The hollandaise was creamy with just a hint of citrus tart. Eggs were poached well, ham was good.  The pancakes were a little dry however. Not to worry, when you have dry pancakes and don't give a damn about calories, you just put a little extra syrup on it, right? We wave down our server (literally waved my hand in the air to get him), ask for the extra syrup, and he mutters that it will be extra. A little ridiculous to charge extra for a cup of syrup, if you ask me, but whatever, it can't be more than 50 cents right? Wrongo, pal. $2.00! Two George Washingtons for a shot of maple syrup. Seriously?! I don't care how good it is, syrup ain't $2.00.  That was the kicker. To have service that terrible (note the other reviews) and then nickel-and-dime the customer like that is unacceptable. I worked in restaurants for the majority of my teens and 20's (everything from prep cook to bartender), and I think I have reasonable expectations when it comes to quality of service. Orange Table doesn't cut it. Adios."
yelp_train_545332,Positive,My,"wife and I were a little disappointed by a menu with 5 options (plus one dessert) and almost walked out when nothing jumped out at us. But we put our faith in the Yelp! community. So glad we stayed! We shared a couple things and it was one of the best lunches we've had anywhere. Our favorite was the the summer squash salad, but everything was amazing. Will definitely be back next time in Scottsdale."
yelp_train_416276,Negative,The absolute worst ribs,"I have ever had, maybe because they were served ice cold. Salad bar was gross. People in the bar were very loud and obnoxious. Pass this one and go on up a ways to Halvorsons... much better place."
yelp_train_371440,Positive,,I am South Indian Hindu Brahmin by background. I go regularly to this tempe and pay my respects.  Please note that you must wear full trousers if you visit here. They do enforce it.  This is a good temple to attend.
yelp_train_218428,Negative,I went,"last Friday for lunch and maybe I came on the wrong day, because I wasn't that impressed. It might've been that I was hoping to catch the tail end of brunch, because after a fun night out breakfast sounded like the best idea ever, but all that was there was a interesting mix of indian, asian, and some american dishes. However, I still managed to eat the food, it wasn't bad, but it wasn't great either. The prime rib was pretty good, but it's pretty hard to go wrong with that. If you can avoid this place, you should--there's a lot of other buffets in Vegas that are better."
yelp_train_233909,Negative,,"I went here for my annual Thanksgiving breakfast and will never be back. Aside from the hostess, who I had grown to \""know\"" over my dinging with them, the customer service was an embarrassment. I am usually one to consider the \""whys\""- not this time. Something about this place has changed and not in a good way."
yelp_train_414047,Negative,Exp\u00e9rience,"plus que d\u00e9cevante. L'impression g\u00e9n\u00e9rale est qu'ils frappent au dessus de leur poids. Prix vs la qualit\u00e9, portion et service d\u00e9cevant. L'entree de petoncle n'avait qu'une petoncle, le boeuf avec les nouilles (style asiatique) ne devrait pas faire partie du menu d'un restaurant qui a cette r\u00e9putation et ces prix. Enfin, au del\u00e0 du look trendy, si vous \u00eates minimalement critique et aimez bien manger, plusieurs autres restaurants offre mieux."
